date,population,admission,release
4/9/2021,120834.5563,3082.963259,3025.473732
4/10/2021,120983.2839,3174.201354,1468.973732
4/11/2021,121657.0115,2142.701354,1313.830875
4/12/2021,122412.1677,2068.987069,3377.5561
4/13/2021,121735.7789,2701.167249,3307.5561
4/14/2021,121431.39,3000.500582,3140.5561
4/15/2021,121208.4595,2917.625582,3183.3061
4/16/2021,120976.779,2951.625582,3057.933018
4/17/2021,120549.9525,2981.33177,1299.908266
4/18/2021,121367.001,2117.83177,1285.926123
4/19/2021,122016.6209,1935.546056,3309.353796
4/20/2021,121560.2408,2856.89862,3107.489676
4/21/2021,121345.9206,2893.169389,3185.061104
4/22/2021,121105.7431,2945.740818,3207.653891
4/23/2021,120684.4506,2787.861363,2735.487224
4/24/2021,120858.8247,2908.861363,1483.987224
4/25/2021,121399.1989,2022.611363,1274.574469
4/26/2021,121941.096,1821.891975,3396.447258
4/27/2021,121325.0407,2777.637198,3270.80156
4/28/2021,121219.5525,3162.741922,3362.387505
4/29/2021,120802.0254,2948.68103,3160.336009
4/30/2021,120587.2646,2959.957045,3170.532578
5/1/2021,120586.5292,3172.95535,1287.726405
5/2/2021,121459.816,2163.011029,1254.724178
5/3/2021,122170.1029,1965.011029,3522.867035
5/4/2021,121471.2865,2821.717378,3230.852342
5/5/2021,121154.3354,2919.202397,3132.706183
5/6/2021,121088.2,3066.570818,3187.261739
5/7/2021,120990.0647,3089.126374,2866.261739
5/8/2021,121237.4293,3113.626374,1378.061739
5/9/2021,122071.1939,2211.826374,1298.561739
5/10/2021,122573.9586,1801.326374,3540.561739
5/11/2021,121866.7232,2833.326374,3113.061739
5/12/2021,121694.2378,2940.576374,3232.061739
5/13/2021,121485.6414,3023.465262,3093.428406
5/14/2021,121527.2699,3135.03312,3189.761739
5/15/2021,121542.3151,3205.806929,1398.095072
5/16/2021,122272.5703,2127.350262,1278.095072
5/17/2021,123002.8255,2006.504109,3597.761739
5/18/2021,122448.914,3045.183596,3133.928406
5/19/2021,122371.5858,3055.766929,3369.505329
5/20/2021,122101.4244,3098.933596,3288.393485
5/21/2021,121634.7629,3122.766929,2958.475521
5/22/2021,121729.9062,3085.576545,1342.433213
5/23/2021,122713.8829,2326.409878,1395.933213
5/24/2021,123324.3595,2006.409878,3446.047248
5/25/2021,122865.6871,2986.403362,3320.059071
5/26/2021,122705.8476,3160.219618,3351.559071
5/27/2021,122468.0082,3113.719618,3397.059071
5/28/2021,122179.1687,3108.719618,3122.887384
5/29/2021,122184.0341,3125.086084,1360.387384
5/30/2021,123243.2328,2420.586084,1368.187384
5/31/2021,123951.4315,2079.586084,1529.387384
6/1/2021,124582.1302,2158.73993,4096.137384
6/2/2021,123810.4956,3324.50275,3745.470718
6/3/2021,123253.6943,3188.669417,3516.197033
6/4/2021,123007.4193,3271.016785,3299.475104
6/5/2021,123030.3943,3334.700119,1388.49177
6/6/2021,124010.536,2368.533452,1375.57927
6/7/2021,124577.7401,1943.783452,3383.399783
